Location,Household Total,Median,Mean
"Bergen County, New Jersey",337227.0,93683.0,126812.0
"Burlington County, New Jersey",165862.0,80254.0,105413.0
"Camden County, New Jersey",185512.0,66362.0,88390.0
"Cape May County, New Jersey",38895.0,62548.0,87477.0
"Cumberland County, New Jersey",50787.0,49110.0,61132.0
"Essex County, New Jersey",280734.0,54277.0,92032.0
"Gloucester County, New Jersey",105436.0,79879.0,95344.0
"Hudson County, New Jersey",253321.0,63808.0,96308.0
"Hunterdon County, New Jersey",47195.0,113684.0,145102.0
"Mercer County, New Jersey",128332.0,77650.0,111623.0
"Middlesex County, New Jersey",283661.0,82375.0,102689.0
"Monmouth County, New Jersey",230769.0,90226.0,120305.0
"Morris County, New Jersey",181059.0,106985.0,143205.0
"Ocean County, New Jersey",224308.0,62222.0,82537.0
"Passaic County, New Jersey",163868.0,62016.0,86051.0
"Salem County, New Jersey",24195.0,53662.0,73756.0
"Somerset County, New Jersey",116169.0,104478.0,142077.0
"Sussex County, New Jersey",51978.0,87829.0,109564.0
"Union County, New Jersey",187922.0,72028.0,109955.0
"Warren County, New Jersey",40512.0,74867.0,94313.0
"Bernalillo County, New Mexico",262328.0,50601.0,69392.0
"Chaves County, New Mexico",22516.0,40960.0,53516.0
"Do?a Ana County, New Mexico",75759.0,37496.0,56328.0
"Lea County, New Mexico",20793.0,55636.0,67445.0
"McKinley County, New Mexico",20061.0,31526.0,43857.0
"Otero County, New Mexico",22384.0,43646.0,66808.0
"Sandoval County, New Mexico",49821.0,57158.0,73308.0
"San Juan County, New Mexico",43093.0,52003.0,65449.0
"Santa Fe County, New Mexico",60096.0,57863.0,82210.0
"Valencia County, New Mexico",26575.0,43700.0,54551.0
"Albany County, New York",125329.0,61754.0,83464.0
"Bronx County, New York",498539.0,37525.0,53466.0
"Broome County, New York",76957.0,50463.0,67239.0
"Cattaraugus County, New York",31409.0,46842.0,57722.0
"Cayuga County, New York",30966.0,54995.0,68575.0
"Chautauqua County, New York",51705.0,42204.0,55539.0
"Chemung County, New York",34418.0,51269.0,67332.0
"Clinton County, New York",30624.0,55316.0,65214.0
"Dutchess County, New York",108200.0,74115.0,99958.0
"Erie County, New York",380473.0,54246.0,73544.0
"Jefferson County, New York",41415.0,45624.0,61225.0
"Kings County, New York",941871.0,55150.0,83115.0
"Livingston County, New York",23904.0,53121.0,61229.0
"Madison County, New York",25612.0,60630.0,76630.0
